name,brand,image
ASOS DESIGN Tall - Pantalon à enfiler avec empiècement contrastant - Noir,ASOS DESIGN,images.asos-media.com/products/asos-design-tall-pantalon-a-enfiler-avec-empiecement-contrastant-noir/206262790-1-black
Stradivarius - Blazer oversize - Noir,Stradivarius,images.asos-media.com/products/stradivarius-blazer-oversize-noir/208047045-1-black
adidas Originals - Pantalon de jogging ample en satin - Noir,adidas Originals,images.asos-media.com/products/adidas-originals-pantalon-de-jogging-ample-en-satin-noir/205232782-1-black
ASOS DESIGN - Robe courte à manches longues et volants - Ocre,ASOS DESIGN,images.asos-media.com/products/asos-design-robe-courte-a-manches-longues-et-volants-ocre/206952020-1-ochre
ASOS DESIGN Tall - Crop top manches longues en maille - Noir,ASOS Tall,images.asos-media.com/products/asos-design-tall-crop-top-manches-longues-en-maille-noir/206684596-1-black
VILA - Robe longue épurée en satin avec encolure américaine - Vert vif,Vila,images.asos-media.com/products/vila-robe-longue-epuree-en-satin-avec-encolure-americaine-vert-vif/207606829-1-brightgreen
Stradivarius - STR - Jupe-short à volants - Noir,Stradivarius,images.asos-media.com/products/stradivarius-str-jupe-short-a-volants-noir/207898229-1-multi
Stradivarius - Mini jupe-short ajustée avec ceinture - Noir,Stradivarius,images.asos-media.com/products/stradivarius-mini-jupe-short-ajustee-avec-ceinture-noir/207898426-1-black
Topshop - Robe longue double épaisseur à encolure bénitier et imprimé fleurs - Noir et blanc,Topshop,images.asos-media.com/products/topshop-robe-longue-double-epaisseur-a-encolure-benitier-et-imprime-fleurs-noir-et-blanc/207396326-1-mono
ASOS DESIGN - Débardeur à taille corsetée et épaules structurées - Noir,ASOS DESIGN,images.asos-media.com/products/asos-design-debardeur-a-taille-corsetee-et-epaules-structurees-noir/207706534-1-black
ASOS DESIGN - Jupe droite longue - Noir,ASOS DESIGN,images.asos-media.com/products/asos-design-jupe-droite-longue-noir/205790007-1-black
adidas Originals - Firebird - Haut de survêtement - Bleu,adidas Originals,images.asos-media.com/products/adidas-originals-firebird-haut-de-survetement-bleu/207200465-1-mblue
ASOS DESIGN Hourglass - Pantalon à pinces coupe ajustée ample - Noir,ASOS DESIGN,images.asos-media.com/products/asos-design-hourglass-pantalon-a-pinces-coupe-ajustee-ample-noir/205230404-1-black
Threadbare - Pull en maille avec col - Noir,Threadbare,images.asos-media.com/products/threadbare-pull-en-maille-avec-col-noir/206998874-1-black
